GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReactorState Maven Common,de.syquel.maven.reactorstate.common,SavedReactorStateManager,15,215,3,19,1,47,3,14,0,6
ReactorState Maven Common,de.syquel.maven.reactorstate.common,AbstractReactorStateManager,0,39,0,2,0,8,0,4,0,3
ReactorState Maven Common,de.syquel.maven.reactorstate.common,MavenProjectState,0,31,0,0,0,10,0,5,0,5
ReactorState Maven Common,de.syquel.maven.reactorstate.common,RuntimeReactorStateManager,0,96,0,6,0,22,0,7,0,4
ReactorState Maven Common,de.syquel.maven.reactorstate.common.persistence.json.dto,MavenProjectStateDto,0,46,0,0,0,20,0,10,0,10
ReactorState Maven Common,de.syquel.maven.reactorstate.common.persistence.json.dto,ArtifactDto,0,36,0,0,0,16,0,8,0,8
ReactorState Maven Common,de.syquel.maven.reactorstate.common.persistence.json,JsonReactorStateRepository,4,226,3,5,1,52,3,13,0,12
ReactorState Maven Common,de.syquel.maven.reactorstate.common.util,MavenProjectUtils,0,12,0,0,0,3,0,1,0,1
