GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReactorState Maven Common,de.syquel.maven.reactorstate.common,SavedReactorStateManager,18,263,4,24,5,60,4,17,0,7
ReactorState Maven Common,de.syquel.maven.reactorstate.common,AbstractReactorStateManager,0,39,0,2,0,8,0,4,0,3
ReactorState Maven Common,de.syquel.maven.reactorstate.common,RuntimeReactorStateManager,21,153,5,11,4,38,3,11,0,6
ReactorState Maven Common,de.syquel.maven.reactorstate.common.persistence.json.dto,MavenProjectStateDto,0,46,0,0,0,20,0,10,0,10
ReactorState Maven Common,de.syquel.maven.reactorstate.common.persistence.json.dto,ArtifactDto,0,57,0,0,0,25,0,14,0,14
ReactorState Maven Common,de.syquel.maven.reactorstate.common.persistence.json,JsonReactorStateRepository,4,270,3,5,1,64,3,15,0,14
ReactorState Maven Common,de.syquel.maven.reactorstate.common.data,MavenProjectState,0,31,0,0,0,10,0,5,0,5
ReactorState Maven Common,de.syquel.maven.reactorstate.common.data,MavenArtifactState,23,48,6,0,6,17,4,9,1,9
ReactorState Maven Common,de.syquel.maven.reactorstate.common.util,MavenProjectUtils,0,12,0,0,0,3,0,1,0,1
